    Rank Group    Score       Missing     Variable
     378  F     6.651E-02         170     CPA2
     379  F     6.631E-02         170     RPGRIP1
     380  F     6.607E-02         170     TMCC1
     381  F     6.606E-02         170     BIVM
     382  F     6.561E-02         170     NCKAP5L
     383  F     6.547E-02         170     EBF1
     384  F     6.546E-02         170     GCFC2
     385  F     6.508E-02         170     MBD6
     386  F     6.488E-02         170     DIRC2
     387  F     6.482E-02         170     MAP2
     388  F     6.427E-02         170     TNFRSF25
     389  F     6.416E-02         170     TNIK
     390  F     6.350E-02         170     SYMPK
     391  F     6.309E-02         170     SLC25A47
     392  F     6.305E-02         170     NAV3
     393  F     6.299E-02         170     MAP4K2
     394  F     6.288E-02         170     ST6GAL1
     395  F     6.254E-02         170     SEMA3D
     396  F     6.199E-02         170     ARIH2
     397  F     6.179E-02         170     CSN3
     398  F     6.179E-02         170     TSKU
     399  F     6.177E-02         170     SLIT2
     400  F     6.163E-02         170     SLC3A1
     401  F     6.136E-02         170     TNFAIP2
     402  F     6.134E-02         170     OR11G2
     403  F     6.130E-02         170     LRRC19
     404  F     6.109E-02         170     CXCR1
     405  F     6.096E-02         170     PLOD2
     406  F     6.060E-02         170     NRROS
     407  F     6.042E-02         170     MAP3K19
     408  F     6.037E-02         170     MED25
     409  F     6.027E-02         170     CCDC108
     410  F     6.001E-02         170     DHRS1
     411  F     5.990E-02         170     NUAK1
     412  F     5.985E-02         170     PODXL
     413  F     5.980E-02         170     HEPN1
     414  F     5.978E-02         170     CPXM2
     415  F     5.977E-02         170     ZNF404
     416  F     5.971E-02         170     NCOR1
     417  F     5.942E-02         170     CHAMP1
     418  F     5.937E-02         170     GALNT5
     419  F     5.919E-02         170     VPS52
     420  F     5.873E-02         170     ZNF418
     421  F     5.867E-02         170     SRPK2
     422  F     5.863E-02         170     ADRB2
     423  F     5.861E-02         170     GRAMD2
     424  F     5.855E-02         170     PCDHGC4
     425  F     5.818E-02         170     TMEM245
     426  F     5.811E-02         170     NOTCH1
     427  F     5.799E-02         170     PCDHGC5
     428  F     5.789E-02         170     CPZ
     429  F     5.789E-02         170     ZNF181
     430  F     5.784E-02         170     COL4A5
     431  F     5.713E-02         170     LRIG1
     432  F     5.712E-02         170     TMEM255B
     433  F     5.709E-02         170     CCDC132
     434  F     5.705E-02         170     NLRP2
     435  F     5.701E-02         170     MTIF2
     436  F     5.697E-02         170     LTB4R2
     437  F     5.689E-02         170     AMOT
     438  F     5.671E-02         170     SLC7A7
     439  F     5.650E-02         170     ABLIM1
     440  F     5.641E-02         170     SLC34A2
     441  F     5.637E-02         170     OR2A5
     442  F     5.604E-02         170     SLC38A11
     443  F     5.604E-02         170     VPS25
     444  F     5.604E-02         170     C10orf111
     445  F     5.604E-02         170     C2orf73
     446  F     5.604E-02         170     CTSV
     447  F     5.588E-02         170     AGTRAP
     448  F     5.571E-02         170     GPBAR1
     449  F     5.547E-02         170     ZNF229
     450  F     5.530E-02         170     LAD1
     451  F     5.518E-02         170     G6PC
