    Rank Group    Score       Missing     Variable
     428  F     5.692E-02         170     DCBLD2
     429  F     5.689E-02         170     ESAM
     430  F     5.687E-02         170     HSP90B1
     431  F     5.687E-02         170     VCP
     432  F     5.686E-02         170     MRAS
     433  F     5.686E-02         170     RALGPS2
     434  F     5.685E-02         170     YTHDC1
     435  F     5.684E-02         170     NCBP1
     436  F     5.684E-02         170     OR4M2
     437  F     5.680E-02         170     ZNF235
     438  F     5.677E-02         170     PTPRT
     439  F     5.676E-02         170     ATF7
     440  F     5.676E-02         170     MRPL22
     441  F     5.675E-02         170     PFKP
     442  F     5.675E-02         170     NEFH
     443  F     5.674E-02         170     RBM23
     444  F     5.673E-02         170     RCAN1
     445  F     5.669E-02         170     FRMPD4
     446  F     5.669E-02         170     LRRC49
     447  F     5.666E-02         170     GP6
     448  F     5.666E-02         170     ZNF569
     449  F     5.666E-02         170     C11orf82
     450  F     5.664E-02         170     MICALCL
     451  F     5.663E-02         170     HCG25
     452  F     5.662E-02         170     RPS6KA3
     453  F     5.661E-02         170     EML4
     454  F     5.657E-02         170     SPDL1
     455  F     5.656E-02         170     KDM5D
     456  F     5.656E-02         170     BRPF1
     457  F     5.652E-02         170     PLS1
     458  F     5.650E-02         170     PLCL1
     459  F     5.649E-02         170     IFT57
     460  F     5.648E-02         170     SOD1
     461  F     5.648E-02         170     PPP1R12C
     462  F     5.647E-02         170     TMEM19
     463  F     5.647E-02         170     EXOC4
     464  F     5.646E-02         170     ZNF765
     465  F     5.646E-02         170     GPR156
     466  F     5.646E-02         170     PRICKLE1
     467  F     5.645E-02         170     SLC36A4
     468  F     5.644E-02         170     ITPR1
     469  F     5.643E-02         170     PAPSS1
     470  F     5.643E-02         170     CPNE4
     471  F     5.642E-02         170     GLRA2
     472  F     5.642E-02         170     OR6C74
     473  F     5.642E-02         170     IL1RAP
     474  F     5.642E-02         170     RINT1
     475  F     5.641E-02         170     RETSAT
     476  F     5.640E-02         170     SHC2
     477  F     5.640E-02         170     DHX35
     478  F     5.640E-02         170     ABHD4
     479  F     5.638E-02         170     ZNF461
     480  F     5.637E-02         170     SLC52A3
     481  F     5.637E-02         170     HHATL
     482  F     5.636E-02         170     TIMM50
     483  F     5.635E-02         170     TSPAN8
     484  F     5.635E-02         170     SLC25A23
     485  F     5.634E-02         170     BTBD6
     486  F     5.633E-02         170     ARAP1
     487  F     5.632E-02         170     ZNF212
     488  F     5.632E-02         170     HOXC8
     489  F     5.628E-02         170     LILRA4
     490  F     5.628E-02         170     REV1
     491  F     5.626E-02         170     KCNH3
     492  F     5.619E-02         170     PNPT1
     493  F     5.619E-02         170     ZNF615
     494  F     5.618E-02         170     RFTN1
     495  F     5.616E-02         170     UBA7
     496  F     5.616E-02         170     TATDN3
     497  F     5.616E-02         170     ZBTB39
     498  F     5.611E-02         170     KRT5
     499  F     5.610E-02         170     PTH2R
     500  F     5.609E-02         170     GNL3
     501  F     5.608E-02         170     UBE3B
     502  F     5.607E-02         170     MUM1L1
     503  F     5.605E-02         170     RHO
     504  F     5.605E-02         170     NRCAM
     505  F     5.604E-02         170     EPB41L1
     506  F     5.604E-02         170     DDB1
     507  F     5.603E-02         170     PCDHGB6
     508  F     5.603E-02         170     LAMB4
     509  F     5.603E-02         170     FNDC3B
     510  F     5.602E-02         170     NEBL
     511  F     5.601E-02         170     ZCCHC3
     512  F     5.600E-02         170     INVS
     513  F     5.594E-02         170     SNED1
     514  F     5.592E-02         170     CHD8
     515  F     5.592E-02         170     ANKRD24
     516  F     5.591E-02         170     RBPJ
     517  F     5.591E-02         170     SHMT1
     518  F     5.589E-02         170     ZNF578
     519  F     5.589E-02         170     IARS2
     520  F     5.588E-02         170     SMUG1
     521  F     5.584E-02         170     VPS51
     522  F     5.582E-02         170     TBX21
     523  F     5.581E-02         170     F13B
     524  F     5.578E-02         170     NR3C1
     525  F     5.577E-02         170     POR
     526  F     5.577E-02         170     RAI1
     527  F     5.577E-02         170     HIST1H1D
     528  F     5.573E-02         170     EP400
     529  F     5.572E-02         170     MST1R
     530  F     5.571E-02         170     ZNF385D
     531  F     5.571E-02         170     CNTNAP2
     532  F     5.571E-02         170     BAIAP2L1
     533  F     5.566E-02         170     CLDN17
     534  F     5.565E-02         170     LRRK2
     535  F     5.565E-02         170     ARHGAP32
     536  F     5.565E-02         170     PARD3B
     537  F     5.564E-02         170     KDELC1
     538  F     5.562E-02         170     SSMEM1
     539  F     5.562E-02         170     ME3
     540  F     5.561E-02         170     SIGLEC11
     541  F     5.559E-02         170     ERC2
     542  F     5.558E-02         170     ALDH1L2
     543  F     5.555E-02         170     WNT7A
     544  F     5.553E-02         170     CPO
     545  F     5.550E-02         170     MFSD6
     546  F     5.549E-02         170     NPC1L1
     547  F     5.549E-02         170     SEMA4F
     548  F     5.543E-02         170     TMEM63A
     549  F     5.543E-02         170     DFNB59
     550  F     5.541E-02         170     TMEM215
     551  F     5.541E-02         170     PDZRN4
     552  F     5.540E-02         170     LIG4
     553  F     5.539E-02         170     ABCB9
     554  F     5.539E-02         170     SOAT2
     555  F     5.534E-02         170     CEACAM5
     556  F     5.530E-02         170     SCN9A
     557  F     5.529E-02         170     HNRNPDL
     558  F     5.528E-02         170     TFDP3
     559  F     5.528E-02         170     HELQ
     560  F     5.527E-02         170     CAPRIN2
     561  F     5.527E-02         170     TIMD4
     562  F     5.524E-02         170     PLD1
     563  F     5.523E-02         170     CBL
     564  F     5.523E-02         170     BTBD16
     565  F     5.519E-02         170     PLXNC1
     566  F     5.516E-02         170     EI24
     567  F     5.515E-02         170     ZPLD1
     568  F     5.511E-02         170     AOC1
     569  F     5.510E-02         170     BMPR2
     570  F     5.508E-02         170     PRDM5
     571  F     5.508E-02         170     LDOC1
     572  F     5.505E-02         170     NDRG2
     573  F     5.505E-02         170     NOP14
     574  F     5.505E-02         170     MYBL2
     575  F     5.504E-02         170     ZNF786
     576  F     5.501E-02         170     BDKRB2
     577  F     5.501E-02         170     GABRD
     578  F     5.501E-02         170     GIMAP6
     579  F     5.500E-02         170     MAP2K1
     580  F     5.500E-02         170     KCNH1
     581  F     5.496E-02         170     CLIP3
     582  F     5.495E-02         170     MYO7A
     583  F     5.492E-02         170     C9orf152
     584  F     5.492E-02         170     CTDSP2
     585  F     5.492E-02         170     P2RY6
     586  F     5.489E-02         170     SLC37A2
     587  F     5.489E-02         170     P2RY4
     588  F     5.487E-02         170     COPS7B
     589  F     5.487E-02         170     LGI2
     590  F     5.484E-02         170     PANK3
     591  F     5.482E-02         170     MAMLD1
     592  F     5.479E-02         170     OR2K2
     593  F     5.477E-02         170     MGAM
     594  F     5.477E-02         170     KDM4D
     595  F     5.476E-02         170     PGK1
