    Rank Group    Score       Missing     Variable
     468  A     3.506E+00          88     RBCK1
     469  A     3.506E+00          88     TRIM16
     470  A     3.505E+00          88     INPP5J
     471  A     3.503E+00          88     FAM222A
     472  A     3.503E+00          88     DNMT3B
     473  A     3.503E+00          88     TEAD1
     474  A     3.503E+00          88     PITPNM1
     475  A     3.503E+00          88     IHH
     476  A     3.503E+00          88     TMEM150C
     477  A     3.503E+00          88     ZC3H11A
     478  A     3.503E+00          88     OGDH
     479  A     3.503E+00          88     MRPL1
     480  A     3.503E+00          88     ZNF775
     481  A     3.503E+00          88     ACER1
     482  A     3.503E+00          88     TDP2
     483  A     3.503E+00          88     ANP32B
     484  A     3.503E+00          88     TBC1D8
     485  A     3.503E+00          88     CD5
     486  A     3.503E+00          88     CAND1
     487  A     3.503E+00          88     DCUN1D1
     488  A     3.503E+00          88     PPARG
     489  A     3.503E+00          88     RGS1
     490  A     3.496E+00          88     KANK3
     491  A     3.496E+00          88     PNLIPRP1
     492  A     3.496E+00          88     SCG2
     493  A     3.496E+00          88     NDUFAF3
     494  A     3.494E+00          88     XRN1
     495  A     3.494E+00          88     ALKBH5
     496  A     3.494E+00          88     CFC1
     497  A     3.490E+00          88     VSTM2L
     498  A     3.489E+00          88     ZBED2
     499  A     3.487E+00          88     NANOS2
     500  A     3.484E+00          88     ADIPOQ
     501  A     3.484E+00          88     TMEM225
     502  A     3.484E+00          88     SPOPL
     503  A     3.484E+00          88     S1PR2
     504  A     3.484E+00          88     NCCRP1
     505  A     3.484E+00          88     FABP6
     506  A     3.484E+00          88     CYP26B1
     507  A     3.483E+00          88     ALDH3B1
     508  A     3.483E+00          88     TMEM207
     509  A     3.483E+00          88     ABHD10
     510  A     3.483E+00          88     NIFK
     511  A     3.483E+00          88     CHFR
     512  A     3.483E+00          88     CHST14
     513  A     3.483E+00          88     ZNF514
     514  A     3.482E+00          88     PHTF2
     515  A     3.482E+00          88     SPINK14
     516  A     3.482E+00          88     ARPC3
     517  A     3.482E+00          88     HES5
     518  A     3.482E+00          88     PLAC1
     519  A     3.479E+00          88     TXNRD3NB
     520  A     3.479E+00          88     CATSPERD
     521  A     3.479E+00          88     CPA4
     522  A     3.479E+00          88     BTBD2
     523  A     3.479E+00          88     ABHD14A
     524  A     3.478E+00          88     BCKDHA
     525  A     3.478E+00          88     PPP1CA
     526  A     3.478E+00          88     ZNF626
     527  A     3.478E+00          88     ARID3A
     528  A     3.478E+00          88     TMEM5
     529  A     3.477E+00          88     PAICS
     530  A     3.477E+00          88     CHST10
     531  A     3.477E+00          88     TAF9B
     532  A     3.477E+00          88     SERTAD3
     533  A     3.477E+00          88     ZFAND5
     534  A     3.474E+00          88     TCN2
     535  A     3.472E+00          88     SLC36A1
     536  A     3.472E+00          88     LZTS3
     537  A     3.472E+00          88     TEX29
     538  A     3.472E+00          88     OSTC
     539  A     3.471E+00          88     GBX2
     540  A     3.471E+00          88     IKZF2
     541  A     3.470E+00          88     MGLL
     542  A     3.470E+00           0     RAI_AT_DIAGNOSIS
     543  A     3.466E+00           0     ARRAY450K
     544  A     3.465E+00          88     SCML2
     545  A     3.465E+00          88     SMU1
     546  A     3.465E+00          88     ACVR1B
     547  A     3.465E+00          88     SH3KBP1
     548  A     3.465E+00          88     BEND7
     549  A     3.465E+00          88     HIC2
     550  A     3.465E+00          88     LAGE3
     551  A     3.465E+00          88     SP110
     552  A     3.463E+00          88     CCDC146
     553  A     3.462E+00          88     GIPR
     554  A     3.462E+00          88     TNFRSF8
     555  A     3.462E+00          88     ZNF331
     556  A     3.461E+00          88     TASP1
     557  A     3.460E+00          88     FAM20B
     558  A     3.460E+00          88     RAB3GAP1
     559  A     3.460E+00          88     RPRM
     560  A     3.458E+00          88     F7
     561  A     3.458E+00          88     TNFAIP6
     562  A     3.454E+00          88     ATP5O
     563  A     3.454E+00          88     FAM186B
     564  A     3.454E+00          88     RAB11B
     565  A     3.453E+00          88     UAP1L1
