    Rank Group    Score       Missing     Variable
     271  F     5.601E-06           0     PLXNA2
     272  F     5.467E-06           0     LRG1
     273  F     5.254E-06           0     TOR3A
     274  F     5.242E-06           0     KIAA0368
     275  F     5.138E-06           0     OTOP1
     276  F     5.029E-06           0     GTF2H4
     277  F     4.827E-06           0     ITCH
     278  F     4.787E-06           0     PLXNB3
     279  F     4.455E-06           0     F8
     280  F     4.389E-06           0     GGT7
     281  F     4.328E-06           0     CACNA1D
     282  F     4.263E-06           0     CNOT4
     283  F     3.743E-06           0     SCN1A
     284  F     3.711E-06           0     CTNNA2
     285  F     3.446E-06           0     PHF13
     286  F     3.295E-06           0     BTBD6
     287  F     3.246E-06           0     OASL
     288  F     3.073E-06           0     UPF3A
     289  F     3.035E-06           0     LPHN3
     290  F     2.935E-06           0     CFH
     291  F     2.924E-06           0     OXSR1
     292  F     2.905E-06           0     C2orf54
     293  F     2.905E-06           0     MFRP
     294  F     2.823E-06           0     ABHD6
     295  F     2.649E-06           0     LAMB4
     296  F     2.190E-06           0     GCFC2
     297  F     1.978E-06           0     LRRIQ1
     298  F     1.896E-06           0     FRAS1
     299  F     1.843E-06           0     CECR2
     300  F     1.797E-06           0     TRIM71
     301  F     1.784E-06           0     PRPH
     302  F     1.754E-06           0     TRAPPC10
     303  F     1.736E-06           0     SLITRK2
     304  F     1.714E-06           0     ARMCX2
     305  F     1.703E-06           0     CHRND
     306  F     1.674E-06           0     SCAF11
     307  F     1.640E-06           0     TP53BP2
     308  F     1.587E-06           0     MAN1B1
     309  F     1.579E-06           0     POFUT1
     310  F     1.532E-06           0     OR2F2
     311  F     1.513E-06           0     MKLN1
     312  F     1.491E-06           0     KIAA1598
     313  F     1.464E-06           0     AHNAK
     314  F     1.421E-06           0     FTH1
     315  F     1.394E-06           0     PSMD6
     316  F     1.368E-06           0     TGOLN2
     317  F     1.265E-06           0     AP3D1
     318  F     1.265E-06           0     C2orf57
     319  F     1.265E-06           0     ACTL7B
     320  F     1.262E-06           0     SLC36A4
     321  F     1.211E-06           0     KCTD7
     322  F     1.204E-06           0     RCAN1
     323  F     1.182E-06           0     ZNF71
     324  F     1.180E-06           0     BCR
     325  F     1.177E-06           0     PAK3
     326  F     1.173E-06           0     EIF2AK4
     327  F     1.152E-06           0     KLHL21
     328  F     1.123E-06           0     CDC27
     329  F     1.105E-06           0     RNASE4
     330  F     1.103E-06           0     MYH1
     331  F     1.103E-06           0     CNTD1
     332  F     1.088E-06           0     RPS6KA6
     333  F     1.085E-06           0     ANAPC5
     334  F     1.058E-06           0     BTBD16
     335  F     1.037E-06           0     C7orf57
     336  F     1.033E-06           0     MSL2
     337  F     1.023E-06           0     ABL2
     338  F     1.006E-06           0     SEMA6B
     339  F     1.004E-06           0     LPP
     340  F     9.981E-07           0     DLG2
     341  F     9.937E-07           0     MYH4
     342  F     9.902E-07           0     CCDC71
     343  F     9.848E-07           0     OTOL1
     344  F     9.836E-07           0     MCM10
     345  F     9.796E-07           0     PSAT1
     346  F     9.632E-07           0     GDI2
     347  F     9.626E-07           0     INPP5D
     348  F     9.575E-07           0     NCAN
     349  F     9.549E-07           0     RRP15
     350  F     9.407E-07           0     ADSSL1
     351  F     9.351E-07           0     NFE2L2
     352  F     9.348E-07           0     ZFYVE28
     353  F     9.345E-07           0     UGT1A3
