    Rank Group    Score       Missing     Variable
     484  F     5.556E-07           0     AASDH
     485  F     5.548E-07           0     ABCA1
     486  F     5.539E-07           0     XRN2
     487  F     5.495E-07           0     PLEKHG2
     488  F     5.491E-07           0     NLRP5
     489  F     5.479E-07           0     NPC1L1
     490  F     5.468E-07           0     UTY
     491  F     5.449E-07           0     LRRFIP2
     492  F     5.421E-07           0     LTF
     493  F     5.413E-07           0     HPRT1
     494  F     5.397E-07           0     PARD3B
     495  F     5.386E-07           0     CNKSR2
     496  F     5.380E-07           0     DYRK1A
     497  F     5.364E-07           0     FKBP6
     498  F     5.356E-07           0     CABS1
     499  F     5.352E-07           0     RBM14
     500  F     5.338E-07           0     CADPS
     501  F     5.335E-07           0     HTT
     502  F     5.331E-07           0     MICALCL
     503  F     5.329E-07           0     PHC3
     504  F     5.307E-07           0     LIMA1
     505  F     5.289E-07           0     TMEM107
     506  F     5.282E-07           0     NFIC
     507  F     5.282E-07           0     TUBA8
     508  F     5.232E-07           0     SNPH
     509  F     5.207E-07           0     ZNF621
     510  F     5.203E-07           0     KRTAP13.2
     511  F     5.180E-07           0     PATZ1
     512  F     5.171E-07           0     ZNF229
     513  F     5.165E-07           0     MKI67
     514  F     5.156E-07           0     SEMA5B
     515  F     5.150E-07           0     STAT2
     516  F     5.137E-07           0     TRPV6
     517  F     5.136E-07           0     ENAH
     518  F     5.134E-07           0     DCTN1
     519  F     5.128E-07           0     DZIP1L
     520  F     5.121E-07           0     TMED4
     521  F     5.121E-07           0     SLC4A1
     522  F     5.112E-07           0     INSR
     523  F     5.096E-07           0     RAP1GDS1
     524  F     5.086E-07           0     PCDHGC5
     525  F     5.082E-07           0     ZSWIM2
     526  F     5.068E-07           0     U2AF2
     527  F     5.053E-07           0     TXK
     528  F     5.051E-07           0     KIF27
     529  F     5.045E-07           0     MRE11A
     530  F     5.032E-07           0     APEX2
     531  F     5.026E-07           0     FAM81A
     532  F     5.024E-07           0     POLR1A
     533  F     5.022E-07           0     CORIN
     534  F     5.018E-07           0     MBD4
     535  F     5.018E-07           0     ZNF404
     536  F     5.014E-07           0     ARAP3
     537  F     4.995E-07           0     DISP2
     538  F     4.975E-07           0     UGGT1
     539  F     4.971E-07           0     PF4
     540  F     4.968E-07           0     SH3TC2
     541  F     4.958E-07           0     CYP2S1
     542  F     4.954E-07           0     FGF13
     543  F     4.952E-07           0     NUMA1
     544  F     4.951E-07           0     IDH1
     545  F     4.945E-07           0     CXCR4
     546  F     4.926E-07           0     TNS1
     547  F     4.922E-07           0     RTP1
     548  F     4.905E-07           0     BTG1
     549  F     4.896E-07           0     WDR82
     550  F     4.896E-07           0     KCTD16
     551  F     4.896E-07           0     SNURF
     552  F     4.881E-07           0     AVPR2
     553  F     4.880E-07           0     PRKD1
     554  F     4.879E-07           0     GTPBP8
     555  F     4.872E-07           0     MIEF2
     556  F     4.845E-07           0     MRPL3
     557  F     4.843E-07           0     MID2
     558  F     4.828E-07           0     SCO2
     559  F     4.824E-07           0     RNF10
     560  F     4.817E-07           0     BBS1
     561  F     4.814E-07           0     SH3RF2
     562  F     4.809E-07           0     ATP11A
     563  F     4.802E-07           0     CEP63
     564  F     4.801E-07           0     HLCS
     565  F     4.800E-07           0     VAT1
     566  F     4.795E-07           0     SPARC
     567  F     4.792E-07           0     GPR128
     568  F     4.791E-07           0     PLS3
     569  F     4.786E-07           0     TUBGCP6
     570  F     4.785E-07           0     UGT2B4
     571  F     4.783E-07           0     OCA2
     572  F     4.778E-07           0     ZC3H6
     573  F     4.769E-07           0     TEKT4
     574  F     4.767E-07           0     TESPA1
     575  F     4.765E-07           0     DCTN2
     576  F     4.763E-07           0     CLSTN1
     577  F     4.762E-07           0     TEX11
     578  F     4.742E-07           0     SIGLEC8
     579  F     4.736E-07           0     STK32A
     580  F     4.724E-07           0     MTA1
     581  F     4.722E-07           0     PSME1
     582  F     4.719E-07           0     RUNDC3B
     583  F     4.719E-07           0     OPHN1
     584  F     4.715E-07           0     BPIFB3
     585  F     4.710E-07           0     ZBTB49
     586  F     4.705E-07           0     MRPS24
     587  F     4.699E-07           0     DRC11
     588  F     4.699E-07           0     SP110
     589  F     4.698E-07           0     ARHGAP44
     590  F     4.696E-07           0     REPIN1
     591  F     4.692E-07           0     CASZ1
     592  F     4.688E-07           0     ERCC6L
     593  F     4.683E-07           0     EXOSC3
     594  F     4.681E-07           0     VAMP7
     595  F     4.680E-07           0     ALB
     596  F     4.680E-07           0     TP63
     597  F     4.667E-07           0     PTPN23
     598  F     4.666E-07           0     ESPNL
     599  F     4.664E-07           0     ARVCF
     600  F     4.663E-07           0     CSN3
     601  F     4.657E-07           0     SEMA3C
     602  F     4.656E-07           0     FPR1
     603  F     4.656E-07           0     NKAP
     604  F     4.656E-07           0     GPC3
     605  F     4.654E-07           0     AKAP17A
     606  F     4.649E-07           0     CACNG8
     607  F     4.635E-07           0     TRMT2B
     608  F     4.630E-07           0     SERPINA6
     609  F     4.629E-07           0     SERPINA4
     610  F     4.619E-07           0     RAB9B
     611  F     4.613E-07           0     GUCY2F
     612  F     4.611E-07           0     SLC26A6
     613  F     4.608E-07           0     XIAP
     614  F     4.600E-07           0     GDPD2
     615  F     4.597E-07           0     OBSL1
     616  F     4.596E-07           0     DLG3
     617  F     4.595E-07           0     SNRNP200
     618  F     4.590E-07           0     SEC24D
     619  F     4.583E-07           0     NEBL
     620  F     4.581E-07           0     TPH2
     621  F     4.579E-07           0     RPIA
     622  F     4.576E-07           0     IFNAR2
     623  F     4.568E-07           0     FBXO46
     624  F     4.568E-07           0     CORO1C
     625  F     4.565E-07           0     NDST4
     626  F     4.561E-07           0     GRIN3A
     627  F     4.559E-07           0     AUTS2
     628  F     4.551E-07           0     USP43
     629  F     4.535E-07           0     CXorf58
     630  F     4.530E-07           0     KANSL3
     631  F     4.527E-07           0     ADH7
     632  F     4.523E-07           0     GAS2L3
     633  F     4.522E-07           0     TLR5
     634  F     4.515E-07           0     MAPT
     635  F     4.505E-07           0     STK4
     636  F     4.505E-07           0     SLC26A3
     637  F     4.500E-07           0     VPS52
     638  F     4.487E-07           0     CYP8B1
     639  F     4.486E-07           0     ABI1
     640  F     4.486E-07           0     WIF1
     641  F     4.485E-07           0     PARP6
     642  F     4.485E-07           0     MAGEB6
     643  F     4.483E-07           0     TRPC5
     644  F     4.481E-07           0     SPESP1
     645  F     4.481E-07           0     SH3RF3
     646  F     4.468E-07           0     TRAF3IP3
     647  F     4.467E-07           0     PGBD4
     648  F     4.457E-07           0     BACE2
     649  F     4.454E-07           0     UGT2A2
     650  F     4.451E-07           0     ELN
     651  F     4.443E-07           0     GADL1
     652  F     4.442E-07           0     LRRC2
     653  F     4.439E-07           0     OTUB1
     654  F     4.438E-07           0     ADAM33
     655  F     4.430E-07           0     OR8S1
     656  F     4.429E-07           0     SBSN
     657  F     4.426E-07           0     FLNA
     658  F     4.424E-07           0     PDIA5
     659  F     4.424E-07           0     ALDH1L2
     660  F     4.424E-07           0     ACAD9
     661  F     4.414E-07           0     CCDC180
     662  F     4.410E-07           0     JAKMIP3
     663  F     4.408E-07           0     ATP13A1
     664  F     4.408E-07           0     ZIK1
     665  F     4.406E-07           0     MYH3
     666  F     4.404E-07           0     TOP2B
     667  F     4.402E-07           0     TRPM2
     668  F     4.393E-07           0     SCGN
     669  F     4.388E-07           0     SHROOM3
     670  F     4.383E-07           0     DGKQ
     671  F     4.380E-07           0     ECE2
     672  F     4.366E-07           0     HSP90B1
     673  F     4.364E-07           0     DACH2
     674  F     4.362E-07           0     ARHGAP24
     675  F     4.357E-07           0     CYTIP
     676  F     4.357E-07           0     FHL1
     677  F     4.356E-07           0     IP6K1
     678  F     4.356E-07           0     RNF113A
     679  F     4.354E-07           0     GCFC2
     680  F     4.353E-07           0     MTIF2
     681  F     4.344E-07           0     RDM1
     682  F     4.340E-07           0     TFPT
     683  F     4.339E-07           0     NUDT10
     684  F     4.338E-07           0     SESN3
     685  F     4.331E-07           0     INHBE
     686  F     4.329E-07           0     PPFIA1
     687  F     4.328E-07           0     DHRS7C
     688  F     4.324E-07           0     PCF11
     689  F     4.323E-07           0     ZBED1
